text,y
"We aspire to become carbon neutral someday.",1
"We will strive for excellence in sustainability.",1
"Our company is committed to a greener tomorrow.",1
"We plan to align with global standards in due course.",1
"We encourage sustainable practices across our value chain.",1
"Our efforts will significantly reduce impact over time.",1
"We believe in protecting the planet for future generations.",1
"The company intends to pursue renewable opportunities.",1
"We may consider investing in greener technologies.",1
"Our long-term ambition is a circular economy.",1
"We will explore ways to cut down emissions.",1
"We support initiatives that foster sustainability.",1
"Our robust framework will drive world-class ESG results.",1
"We are likely to see improvements in energy efficiency.",1
"Our aspiration is to lead the industry in climate action.",1
"We commit to raising awareness about climate change.",1
"The company might implement green supply chain policies.",1
"We aim to achieve best-in-class sustainability practices.",1
"Various measures will be taken to reduce emissions.",1
"We will work towards more responsible sourcing.",1
"We should be carbon neutral in the future.",1
"It is believed that our policies align with Paris Agreement.",1
"Our potential roadmap will address ESG challenges.",1
"We encourage stakeholders to consider ESG risks.",1
"We hope to create meaningful change over time.",1
"Install 2MW rooftop solar panels at Plant A by 2026, verified by SGS.",0
"Reduce Scope 1 emissions by 25% by 2030 compared to 2020 baseline.",0
"Electrify 100% of company fleet by Q4 2028, managed by Operations.",0
"Replace 500 diesel generators with electric units by 2027.",0
"Publish annual ESG report audited by KPMG each March.",0
"Ban single-use plastics in all offices by Jan 2026.",0
"Retrofit 15 facilities with LED lighting by end of 2025.",0
"Purchase 100 GWh renewable power annually starting 2024.",0
"Offset remaining emissions via Gold Standard projects by 2030.",0
"Switch to 100% recycled packaging materials by 2027.",0
"Conduct supplier ESG audits for top 50 vendors by 2025.",0
"Reduce water consumption by 10% per unit product by 2026.",0
"Phase out coal boilers across all sites by Q1 2029.",0
"Plant 1 million trees in partnership with WWF by 2030.",0
"Achieve ISO 14001 certification for all sites by 2027.",0
"Replace refrigerants with low-GWP alternatives by 2028.",0
"Cut office electricity usage by 20% by end of 2025.",0
"Deploy smart meters in 100% of facilities by 2026.",0
"Audit waste disposal practices quarterly starting 2024.",0
"Report gender diversity targets annually to the board.",0
"Verify supply chain labor conditions via third-party by 2025.",0
"Install EV charging points at all HQs by 2027.",0
"Publish CO2 emissions data on website every Q2.",0
"Train 100% of procurement staff on ESG compliance by 2026.",0
"Reduce business travel emissions by 50% by 2030.",0
